company,status,current_matches,new_matches,detail
"Devcon Construction Inc., Milpitas, Calif.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Digital Realty,WORKING,0,0,
Disney,WORKING,0,0,
"E. E. Reed Construction, Sugar Land, Texas",FAILED,0,0,404 Client Error: Not Found for url: https://eereed.com/careers/
"ECC, Burlingame, Calif.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Eaton,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Eli Lilly,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Emerson,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Equinix,WORKING,0,0,
"Evans General Contractors, Alpharetta, Ga.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Exyte,WORKING,0,0,
"F.A. Wilhelm Construction Co. Inc., Indianapolis, Ind.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
FedEx,WORKING,0,0,
"Ferreira Construction Co. Inc., Branchburg, N.J.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Ferrovial Construction, Austin, Texas",FAILED,0,0,"HTTPSConnectionPool(host='careers.ferrovial.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='careers.ferrovial.com', port=443) at 0x7fb1db398450>, 'Connection to car"
Firefly Aerospace,FAILED,0,0,no supported ATS or structured JobPosting data discovered
First Solar,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"FlatironDragados, Atlanta, Ga.†",FAILED,0,0,"HTTPSConnectionPool(host='careers.flatironcorp.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='careers.flatironcorp.com', port=443): Failed to resolve 'careers.flat"
"Fluor, Irving, Texas†",BROWSER_ONLY,0,0,verified source requires browser/session or blocks GitHub Actions HTTP
Ford,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Fortis Construction, Portland, Ore.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Garney, North Kansas City, Mo.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Genentech / Roche,FAILED,0,0,no supported ATS or structured JobPosting data discovered
General Dynamics,FAILED,0,0,Workday 422 at https://generaldynamics.wd1.myworkdayjobs.com/wday/cxs/generaldynamics/GD/jobs
General Motors,WORKING,0,0,
"Gilbane Building Co., Providence, R.I.†",WORKING,7,0,
Gilead Sciences,FAILED,0,0,404 Client Error: Not Found for url: https://gilead.yello.co/jobs/
GlobalFoundries,FAILED,0,0,Eightfold public search returned no job records
Goldman Sachs,FAILED,0,0,Workday 422 at https://goldmansachs.wd5.myworkdayjobs.com/wday/cxs/goldmansachs/GS_External_Career_Site/jobs
Google,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Granite Construction Co., Watsonville, Calif.",FAILED,0,0,"HTTPSConnectionPool(host='jobs.graniteconstruction.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='jobs.graniteconstruction.com', port=443): Failed to resolve 'jobs"
"Gray, Lexington, Ky.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"HITT Contracting, Falls Church, Va.",WORKING,53,0,
"Harvey Cleary, Houston, Texas",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Haskell, Jacksonville, Fla.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Hensel Phelps, Greeley, Colo.",WORKING,0,0,
Hewlett Packard Enterprise,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Hoar Construction, Birmingham, Ala.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Hoffman Construction Co., Lake Oswego, Ore.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Holder Construction Group, Atlanta, Ga.",WORKING,39,0,
Honeywell,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Hyundai Motor Group,FAILED,0,0,"HTTPSConnectionPool(host='careers.hyundai.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='careers.hyundai.com', port=443): Failed to resolve 'careers.hyundai.com' ("
IBM,FAILED,0,0,Workday 422 at https://ibm.wd12.myworkdayjobs.com/wday/cxs/ibm/External/jobs
Intel,WORKING,0,0,
Iron Mountain Data Centers,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"J.T. Magen & Co. Inc., New York, N.Y.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"JE Dunn Construction Co., Kansas City, Mo.",WORKING,1,0,
JLL,WORKING,0,0,
JPMorgan Chase,FAILED,0,0,Workday 422 at https://jpmc.wd5.myworkdayjobs.com/wday/cxs/jpmc/External/jobs
"JRM Construction Management, New York, N.Y.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Joeris General Contractors, San Antonio, Texas",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Johnson & Johnson,WORKING,0,0,
Johnson Controls,WORKING,6,0,
KLA Corporation,WORKING,0,0,
"Kiewit Corp., Omaha, Neb.",WORKING,0,0,
"Kokosing Group of Cos., Westerville, Ohio†",WORKING,2,0,
L3Harris Technologies,WORKING,0,0,
LG Energy Solution,FAILED,0,0,404 Client Error: Not Found for url: https://www.lgensol.com/en/career
Lam Research,WORKING,0,0,
"Lane Industries Inc., Charlotte, N.C.",FAILED,0,0,404 Client Error: Not Found for url: https://www.laneconstruct.com/careers/
Lockheed Martin,FAILED,0,0,Workday 422 at https://lockheedmartin.wd5.myworkdayjobs.com/wday/cxs/lockheedmartin/search/jobs
Lucid,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Lucid Motors,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Manhattan Construction Group, Tulsa and Naples, Okla.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Marvell Technology,WORKING,0,0,
"MasTec Inc., Coral Gables, Fla.†",WORKING,13,0,
"McCarthy Holdings Inc., St. Louis, Mo.",WORKING,0,0,
"McDermott International, Houston, Texas",FAILED,0,0,"HTTPSConnectionPool(host='careers.mcdermott.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='careers.mcdermott.com', port=443) at 0x7fb1da3dac50>, 'Connection to car"
McDonald’s,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"McGough, Roseville, Minn.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Mercedes-Benz,FAILED,0,0,public careers page blocked (403); direct source adapter needed
Merck,FAILED,0,0,Workday 422 at https://merck.wd5.myworkdayjobs.com/wday/cxs/merck/Search/jobs
"Messer Construction Co., Cincinnati, Ohio†",FAILED,0,0,404 Client Error: Not Found for url: https://www.messer.com/careers/
Meta,FAILED,0,0,400 Client Error: Bad Request for url: https://www.metacareers.com/jobs/
"Michels, Brownsville, Wis.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Micron Technology,WORKING,0,0,
Microsoft,FAILED,0,0,Workday 422 at https://microsoft.wd5.myworkdayjobs.com/wday/cxs/microsoft/MSFTInternal/jobs
"Miron Construction Co. Inc., Neenah, Wis.",FAILED,0,0,public careers page blocked (403); direct source adapter needed
Moderna,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Morgan Stanley,WORKING,0,0,
"Mortenson, Minneapolis, Minn.†",FAILED,0,0,401 Client Error: Unauthorized for url: https://mamortensoncompanyproduction3gn9levx.org.coveo.com/rest/search/v2?organizationId=mamortensoncompanyproduction3gn9levx
"Moss, Fort Lauderdale, Fla.",FAILED,0,0,521 Server Error: <none> for url: https://mosscm.com/careers/
NTT Global Data Centers,WORKING,0,0,
NVIDIA,WORKING,0,0,
"Nabholz, Conway, Ark.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Netflix,FAILED,0,0,Workday 422 at https://netflix.wd5.myworkdayjobs.com/wday/cxs/netflix/Netflix_External_Site/jobs
NextEra Energy,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Nike,FAILED,0,0,Workday 404 at https://nike.wd1.myworkdayjobs.com/wday/cxs/nike/Search/jobs
Northrop Grumman,WORKING,3,0,
Novartis,WORKING,0,0,
"Okland Construction, Salt Lake City, Utah†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
OpenAI,WORKING,0,0,
Oracle,FAILED,0,0,Workday 422 at https://oracle.wd5.myworkdayjobs.com/wday/cxs/oracle/OracleCareers/jobs
"PCL Construction Enterprises Inc., Denver, Colo.†",WORKING,5,0,
"PJ Dick - Trumbull - Lindy Group, Pittsburgh, Pa.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Palantir,WORKING,0,0,
Panasonic Energy,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Pepper Construction, Chicago, Ill.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
PepsiCo,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Performance Contractors Inc., Baton Rouge, La.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
